surface,related_item,current_status_wording,author_confirmed_status,accurate_before_change,change_required,replacement_wording,artifact_rebuild_required
cover_letter.tex — related manuscripts paragraph,JOCO-D-26-00099,"An earlier author manuscript on LR-TA was submitted to the Journal of Combinatorial Optimization (manuscript ID JOCO-D-26-00099)","REJECTED","NO — did not state rejection or inactivity; wording implied possible active status","YES","An earlier author manuscript on LR-TA was submitted to the Journal of Combinatorial Optimization (manuscript ID JOCO-D-26-00099) and was rejected.","YES — Vahidi_COAP_Cover_Letter.pdf rebuilt"
cover_letter.tex — related manuscripts paragraph,DA19469,"a separate author manuscript on IPSNS was submitted to Discrete Applied Mathematics (manuscript ID DA19469)","REJECTED","NO — did not state rejection or inactivity","YES","A separate author manuscript on IPSNS was submitted to Discrete Applied Mathematics (manuscript ID DA19469) and was rejected.","YES — Vahidi_COAP_Cover_Letter.pdf rebuilt"
cover_letter.tex — related manuscripts paragraph,CAIE,"Repository packages were also prepared for Computers & Industrial Engineering...preparation of a package does not by itself establish submission history","REJECTED","NO — implied uncertainty about whether formally submitted","YES","A related manuscript was submitted to Computers & Industrial Engineering and was rejected.","YES — Vahidi_COAP_Cover_Letter.pdf rebuilt"
cover_letter.tex — related manuscripts paragraph,EJCO,"[CAIE/EJCO submission dates are disclosed separately in the enclosed related-manuscript statement]","REJECTED","NO — implied uncertainty about submission and outcome","YES","A further related manuscript was submitted to the EURO Journal on Computational Optimization and was rejected.","YES — Vahidi_COAP_Cover_Letter.pdf rebuilt"
cover_letter.tex — publication status,ALL,"I confirm that no substantially overlapping manuscript by me is under consideration elsewhere at the time of submission","NONE ACTIVE","YES — declaration was already factually accurate (author confirmed); no text change needed","NO","[no change — declaration is accurate and retained verbatim]","NO"
related_manuscripts_statement.tex — JOCO section,JOCO-D-26-00099,"previously submitted author manuscript (editorial outcome documented in author records not reproduced here)","REJECTED","NO — hedged; did not state rejected","YES","submitted to the Journal of Combinatorial Optimization; rejected; no longer under consideration","YES — Vahidi_Related_Manuscripts_Statement.pdf rebuilt"
related_manuscripts_statement.tex — DAM section,DA19469,"previously submitted author manuscript (editorial outcome documented in author records not reproduced here)","REJECTED","NO — hedged; did not state rejected","YES","submitted to Discrete Applied Mathematics; rejected; no longer under consideration","YES — Vahidi_Related_Manuscripts_Statement.pdf rebuilt"
related_manuscripts_statement.tex — CAIE section,CAIE,"submission package prepared in repository; whether and when it was submitted to Computers & Industrial Engineering is recorded in author submission logs outside this statement","REJECTED","NO — did not confirm submission or state rejected","YES","submitted to Computers & Industrial Engineering; rejected; no longer under consideration","YES — Vahidi_Related_Manuscripts_Statement.pdf rebuilt"
related_manuscripts_statement.tex — EJCO section,EJCO,"submission package prepared in repository; submission outcome if any is recorded in author submission logs outside this statement","REJECTED","NO — did not confirm submission or state rejected","YES","submitted to the EURO Journal on Computational Optimization; rejected; no longer under consideration","YES — Vahidi_Related_Manuscripts_Statement.pdf rebuilt"
related_manuscripts_statement.tex — arXiv section,arXiv:2412.16181,"public preprint","PREPRINT_ONLY","YES","NO","[no change]","NO"
